Wk,Day,Date,Time,Home,Away,Corners predictions,Reliability of the forecast
37,Fri,2024-05-17,20:45,Fiorentina,Napoli,2,13.07
37,Sat,2024-05-18,18:00,Lecce,Atalanta,2,24.29
37,Sat,2024-05-18,20:45,Torino,Milan,1,3.52
37,Sun,2024-05-19,12:30,Sassuolo,Cagliari,1,16.89
37,Sun,2024-05-19,15:00,Monza,Frosinone,2,18.52
37,Sun,2024-05-19,15:00,Udinese,Empoli,2,12.42
37,Sun,2024-05-19,18:00,Inter,Lazio,1,19.39
37,Sun,2024-05-19,20:45,Roma,Genoa,1,18.54
37,Mon,2024-05-20,18:30,Salernitana,Hellas Verona,2,10.95
37,Mon,2024-05-20,20:45,Bologna,Juventus,2,12.24
29,Sun,2024-06-02,18:00,Atalanta,Fiorentina,2,9.49
