Wk,Day,Date,Time,Home,Away,Corners predictions,Reliability of the forecast
29,Sun,2024-03-17,18:00,Atalanta,Fiorentina,2,9.15
32,Fri,2024-04-12,20:45,Lazio,Salernitana,1,24.36
32,Sat,2024-04-13,15:00,Lecce,Empoli,1,6.72
32,Sat,2024-04-13,18:00,Torino,Juventus,X,0.0
32,Sat,2024-04-13,20:45,Bologna,Monza,2,23.36
32,Sun,2024-04-14,12:30,Napoli,Frosinone,1,24.42
32,Sun,2024-04-14,15:00,Sassuolo,Milan,2,11.64
32,Sun,2024-04-14,18:00,Udinese,Roma,2,15.3
32,Sun,2024-04-14,20:45,Inter,Cagliari,1,24.86
32,Mon,2024-04-15,18:30,Fiorentina,Genoa,1,24.68
32,Mon,2024-04-15,20:45,Atalanta,Hellas Verona,1,25.0
