Wk,Day,Date,Time,Home,Away,Corners predictions,Reliability of the forecast
26,Fri,2024-02-23,20:45,Bologna,Hellas Verona,1,18.96
26,Sat,2024-02-24,15:00,Sassuolo,Empoli,1,0.74
26,Sat,2024-02-24,18:00,Salernitana,Monza,2,24.56
26,Sat,2024-02-24,20:45,Genoa,Udinese,1,2.23
26,Sun,2024-02-25,12:30,Juventus,Frosinone,1,4.52
26,Sun,2024-02-25,15:00,Cagliari,Napoli,2,25.0
26,Sun,2024-02-25,18:00,Lecce,Inter,2,24.51
26,Sun,2024-02-25,20:45,Milan,Atalanta,2,23.82
26,Mon,2024-02-26,18:30,Roma,Torino,2,2.5
26,Mon,2024-02-26,20:45,Fiorentina,Lazio,1,10.56
21,Wed,2024-02-28,18:00,Sassuolo,Napoli,2,24.58
21,Wed,2024-02-28,20:45,Inter,Atalanta,1,15.04
