Wk,Day,Date,Time,Home,Away,Corners predictions,Reliability of the forecast
38,Thu,2024-05-23,20:45,Cagliari,Fiorentina,2,24.99
38,Fri,2024-05-24,20:45,Genoa,Bologna,2,20.47
38,Sat,2024-05-25,18:00,Juventus,Monza,1,18.52
38,Sat,2024-05-25,20:45,Milan,Salernitana,1,24.99
38,Sun,2024-05-26,18:00,Atalanta,Torino,1,18.66
38,Sun,2024-05-26,18:00,Napoli,Lecce,1,24.98
38,Sun,2024-05-26,20:45,Lazio,Sassuolo,1,7.75
38,Sun,2024-05-26,20:45,Empoli,Roma,2,20.33
38,Sun,2024-05-26,20:45,Frosinone,Udinese,1,24.92
38,Sun,2024-05-26,20:45,Hellas Verona,Inter,2,25.0
29,Sun,2024-06-02,18:00,Atalanta,Fiorentina,2,8.85
