Wk,Day,Date,Time,Home,Away,Corners predictions,Reliability of the forecast
29,Sun,2024-03-17,18:00,Atalanta,Fiorentina,2,12.3
31,Fri,2024-04-05,20:45,Salernitana,Sassuolo,2,21.54
31,Sat,2024-04-06,15:00,Milan,Lecce,1,11.67
31,Sat,2024-04-06,18:00,Roma,Lazio,2,9.98
31,Sat,2024-04-06,20:45,Empoli,Torino,2,20.72
31,Sun,2024-04-07,12:30,Frosinone,Bologna,1,10.21
31,Sun,2024-04-07,15:00,Monza,Napoli,2,24.84
31,Sun,2024-04-07,18:00,Cagliari,Atalanta,2,24.87
31,Sun,2024-04-07,18:00,Hellas Verona,Genoa,2,22.89
31,Sun,2024-04-07,20:45,Juventus,Fiorentina,2,18.24
31,Mon,2024-04-08,20:45,Udinese,Inter,2,24.91
