Wk;Day;Date;Time;Home;Away;Corners predictions;Reliability of the forecast
24;Fri;09/02/2024;20:45;Salernitana;Empoli;2;16.21
24;Sat;10/02/2024;15:00;Cagliari;Lazio;2;22.89
24;Sat;10/02/2024;18:00;Roma;Inter;2;8.37
24;Sat;10/02/2024;20:45;Sassuolo;Torino;2;16.15
24;Sun;11/02/2024;12:30;Fiorentina;Frosinone;1;22.66
24;Sun;11/02/2024;15:00;Bologna;Lecce;2;0.4
24;Sun;11/02/2024;15:00;Monza;Hellas Verona;1;22.91
24;Sun;11/02/2024;18:00;Genoa;Atalanta;2;24.7
24;Sun;11/02/2024;20:45;Milan;Napoli;2;24.63
24;Mon;12/02/2024;20:45;Juventus;Udinese;1;20.49
