Wk,Day,Date,Time,Home,Away,Corners predictions,Reliability of the forecast
24,Sat,2025-02-08,15:00,Hellas Verona,Atalanta,2,25
24,Sun,2025-02-09,12:30,Venezia,Roma,2,24.91
24,Sun,2025-02-09,18:00,Lecce,Bologna,2,24.63
24,Sun,2025-02-09,20:45,Napoli,Udinese,1,24.54
24,Sat,2025-02-08,18:00,Empoli,Milan,2,24.43
24,Sun,2025-02-09,15:00,Lazio,Monza,1,24.29
24,Mon,2025-02-10,20:45,Inter,Fiorentina,1,22.21
24,Sun,2025-02-09,15:00,Cagliari,Parma,1,21.3
24,Sat,2025-02-08,20:45,Torino,Genoa,2,5.04
24,Fri,2025-02-07,20:45,Como,Juventus,X,0
