Wk;Day;Date;Time;Home;Away;Corners predictions;Reliability of the forecast
29;Fri;15/03/2024;20:45;Empoli;Bologna;2;8.24
29;Sat;16/03/2024;15:00;Udinese;Torino;2;24.09
29;Sat;16/03/2024;15:00;Monza;Cagliari;1;21.37
29;Sat;16/03/2024;18:00;Salernitana;Lecce;2;22.93
29;Sat;16/03/2024;20:45;Frosinone;Lazio;2;2.07
29;Sun;17/03/2024;12:30;Juventus;Genoa;1;15.55
29;Sun;17/03/2024;15:00;Hellas Verona;Milan;2;24.87
29;Sun;17/03/2024;18:00;Roma;Sassuolo;1;5.81
29;Sun;17/03/2024;18:00;Atalanta;Fiorentina;2;9.79
29;Sun;17/03/2024;20:45;Inter;Napoli;2;2.22
