Wk;Day;Date;Time;Home;Away;Corners predictions;Reliability of the forecast
22;Fri;26/01/2024;20:45;Cagliari;Torino;2;24.62
22;Sat;27/01/2024;15:00;Atalanta;Udinese;1;24.84
22;Sat;27/01/2024;18:00;Juventus;Empoli;1;19.51
22;Sat;27/01/2024;20:45;Milan;Bologna;1;11.81
22;Sun;28/01/2024;12:30;Genoa;Lecce;2;3.13
22;Sun;28/01/2024;15:00;Monza;Sassuolo;1;6.89
22;Sun;28/01/2024;15:00;Hellas Verona;Frosinone;2;14.3
22;Sun;28/01/2024;18:00;Lazio;Napoli;2;19.78
22;Sun;28/01/2024;20:45;Fiorentina;Inter;2;5.75
22;Mon;29/01/2024;20:45;Salernitana;Roma;2;24.69
