Wk,Day,Date,Time,Home,Away,Corners predictions,Reliability of the forecast
34,Fri,2024-04-26,20:45,Frosinone,Salernitana,1,24.79
34,Sat,2024-04-27,15:00,Lecce,Monza,1,0.18
34,Sat,2024-04-27,15:00,Inter,Torino,1,19.32
34,Sat,2024-04-27,18:00,Juventus,Milan,X,5.74
34,Sat,2024-04-27,20:45,Lazio,Hellas Verona,1,24.94
34,Sun,2024-04-28,15:00,Bologna,Udinese,1,22.0
34,Sun,2024-04-28,18:00,Atalanta,Empoli,1,24.75
34,Sun,2024-04-28,18:00,Napoli,Roma,1,24.89
34,Sun,2024-04-28,20:45,Fiorentina,Sassuolo,1,22.46
34,Mon,2024-04-29,20:45,Genoa,Cagliari,2,7.64
