Wk;Day;Date;Time;Home;Away;Corners predictions;Reliability of the forecast
18;Fri;29/12/2023;18:30;Napoli;Monza;1;17.52
18;Fri;29/12/2023;18:30;Fiorentina;Torino;2;2.68
18;Fri;29/12/2023;20:45;Lazio;Frosinone;1;19.89
18;Fri;29/12/2023;20:45;Genoa;Inter;2;24.58
18;Sat;30/12/2023;12:30;Atalanta;Lecce;1;24.07
18;Sat;30/12/2023;15:00;Udinese;Bologna;2;2.99
18;Sat;30/12/2023;15:00;Cagliari;Empoli;2;7.87
18;Sat;30/12/2023;18:00;Milan;Sassuolo;X;5.24
18;Sat;30/12/2023;18:00;Hellas Verona;Salernitana;1;2.31
18;Sat;30/12/2023;20:45;Juventus;Roma;2;15.57
