Wk;Day;Date;Time;Home;Away;Corners predictions;Reliability of the forecast
23;Fri;02/02/2024;20:45;Lecce;Fiorentina;2;21.62
23;Sat;03/02/2024;15:00;Udinese;Monza;2;20.16
23;Sat;03/02/2024;15:00;Empoli;Genoa;1;1.07
23;Sat;03/02/2024;18:00;Frosinone;Milan;2;6.42
23;Sat;03/02/2024;20:45;Bologna;Sassuolo;2;4.3
23;Sun;04/02/2024;12:30;Torino;Salernitana;1;23.72
23;Sun;04/02/2024;15:00;Napoli;Hellas Verona;1;24.98
23;Sun;04/02/2024;18:00;Atalanta;Lazio;1;9.15
23;Sun;04/02/2024;20:45;Inter;Juventus;1;19.29
23;Mon;05/02/2024;20:45;Roma;Cagliari;1;23.67
